,,,,,,,,,,,,,,,,,,,
,Funds:,"1,250,000",Categories,Employment,,,,Physical Overhead,Recurring Costs,,Research Infrastructure,,,,CRO/CRS,,,,Other
,,,,,,,,,,,,,,,,,,,
,Date,Running Total,Month Total,Lead Researcher,Postdoc,Technician,Postdoc 2,Rent + Utilities,Reagents,Supply,Fume Hood,Apparatus,PM-NMR,iontorrent,DNA,sequencing,PK,XG,publications
,1/1/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2/1/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3/1/2014,"366,750","366,750","3,750",0,0,0,"4,000","3,000","1,000","100,000","40,000","200,000",0,"15,000",0,0,0,0
,4/1/2014,"387,100","20,350","3,750","4,200","4,200",0,"4,000","3,000","1,000",0,0,0,0,100,100,0,0,0
,5/1/2014,"407,450","20,350","3,750","4,200","4,200",0,"4,000","3,000","1,000",0,0,0,0,100,100,0,0,0
,6/1/2014,"427,800","20,350","3,750","4,200","4,200",0,"4,000","3,000","1,000",0,0,0,0,100,100,0,0,0
,7/1/2014,"448,150","20,350","3,750","4,200","4,200",0,"4,000","3,000","1,000",0,0,0,0,100,100,0,0,0
,8/1/2014,"468,500","20,350","3,750","4,200","4,200",0,"4,000","3,000","1,000",0,0,0,0,100,100,0,0,0
,9/1/2014,"488,850","20,350","3,750","4,200","4,200",0,"4,000","3,000","1,000",0,0,0,0,100,100,0,0,0
,10/1/2014,"509,200","20,350","3,750","4,200","4,200",0,"4,000","3,000","1,000",0,0,0,0,100,100,0,0,0
,11/1/2014,"529,550","20,350","3,750","4,200","4,200",0,"4,000","3,000","1,000",0,0,0,0,100,100,0,0,0
,12/1/2014,"549,900","20,350","3,750","4,200","4,200",0,"4,000","3,000","1,000",0,0,0,0,100,100,0,0,0
,1/1/2015,"570,250","20,350","3,750","4,200","4,200",0,"4,000","3,000","1,000",0,0,0,0,100,100,0,0,0
,2/1/2015,"590,600","20,350","3,750","4,200","4,200",0,"4,000","3,000","1,000",0,0,0,0,100,100,0,0,0
,3/1/2015,"720,950","130,350","3,750","4,200","4,200",0,"4,000","3,000","1,000",0,"10,000",0,"100,000",100,100,0,0,0
,4/1/2015,"747,200","26,250","3,750","4,200","4,200","4,200","4,000","4,000","1,500",0,0,0,0,200,200,0,0,0
,5/1/2015,"773,450","26,250","3,750","4,200","4,200","4,200","4,000","4,000","1,500",0,0,0,0,200,200,0,0,0
,6/1/2015,"799,700","26,250","3,750","4,200","4,200","4,200","4,000","4,000","1,500",0,0,0,0,200,200,0,0,0
,7/1/2015,"825,950","26,250","3,750","4,200","4,200","4,200","4,000","4,000","1,500",0,0,0,0,200,200,0,0,0
,8/1/2015,"852,200","26,250","3,750","4,200","4,200","4,200","4,000","4,000","1,500",0,0,0,0,200,200,0,0,0
,9/1/2015,"878,450","26,250","3,750","4,200","4,200","4,200","4,000","4,000","1,500",0,0,0,0,200,200,0,0,0
,10/1/2015,"904,700","26,250","3,750","4,200","4,200","4,200","4,000","4,000","1,500",0,0,0,0,200,200,0,0,0
,11/1/2015,"930,950","26,250","3,750","4,200","4,200","4,200","4,000","4,000","1,500",0,0,0,0,200,200,0,0,0
,12/1/2015,"957,200","26,250","3,750","4,200","4,200","4,200","4,000","4,000","1,500",0,0,0,0,200,200,0,0,0
,1/1/2016,"983,450","26,250","3,750","4,200","4,200","4,200","4,000","4,000","1,500",0,0,0,0,200,200,0,0,0
,2/1/2016,"1,009,700","26,250","3,750","4,200","4,200","4,200","4,000","4,000","1,500",0,0,0,0,200,200,0,0,0
,3/1/2016,"1,112,050","102,350","3,750","4,200","4,200","4,200","4,000",0,0,0,0,0,0,0,0,"36,000","36,000","10,000"
,Totals,"1,112,050","1,112,050","93,750","100,800","100,800","50,400","100,000","83,000","29,500","100,000","50,000","200,000","100,000","18,400","3,400","36,000","36,000","10,000"
,Percent,89%,89%,8%,8%,8%,4%,8%,7%,2%,8%,4%,16%,8%,1%,0%,3%,3%,1%
,category total,,,28%,,,,8%,9%,,36%,,,,8%,,,,1%
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Employment,27.66%,,,,,,,,,,,,,,,
,,,Physical Overhead,8%,,,,,,,,,,,,,,,
,,,Recurring Costs,9%,,,,,,,,,,,,,,,
,,,Research Infrastructure,36%,,,,,,,,,,,,,,,
,,,CRO/CRS,7.504%,,,,,,,,,,,,,,,
,,,Other,0.8%,,,,,,,,,,,,,,,
,,,margin,11.036%,,,,,,,,,,,,,,,
