,,,,,,,,,,,,,,,,,,,,,
,Funds:,"1,750,000",Categories,Employment,,,,,,Physical Overhead,Recurring Costs,,Research Infrastructure,,,,CRO/CRS,,,,Other
,,,,,,,,,,,,,,,,,,,,,
,Date,Running Total,Month Total,Lead Researcher,Postdoc,Technician,Postdoc 2,Technician 2,Postdoc 3,Rent + Utilities,Reagents,Supply,Fume Hood,Apparatus,PM-NMR,iontorrent,DNA,sequencing,PK,XG,publications
,1/1/2014,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
,2/1/2014,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
,3/1/2014,"366,750","366,750","3,750",0,0,0,0,,"4,000","3,000","1,000","100,000","40,000","200,000",0,"15,000",0,0,0,0
,4/1/2014,"387,100","20,350","3,750","4,200","4,200",0,0,,"4,000","3,000","1,000",0,0,0,0,100,100,0,0,0
,5/1/2014,"407,450","20,350","3,750","4,200","4,200",0,0,,"4,000","3,000","1,000",0,0,0,0,100,100,0,0,0
,6/1/2014,"427,800","20,350","3,750","4,200","4,200",0,0,,"4,000","3,000","1,000",0,0,0,0,100,100,0,0,0
,7/1/2014,"448,150","20,350","3,750","4,200","4,200",0,0,,"4,000","3,000","1,000",0,0,0,0,100,100,0,0,0
,8/1/2014,"468,500","20,350","3,750","4,200","4,200",0,0,,"4,000","3,000","1,000",0,0,0,0,100,100,0,0,0
,9/1/2014,"488,850","20,350","3,750","4,200","4,200",0,0,,"4,000","3,000","1,000",0,0,0,0,100,100,0,0,0
,10/1/2014,"509,200","20,350","3,750","4,200","4,200",0,0,,"4,000","3,000","1,000",0,0,0,0,100,100,0,0,0
,11/1/2014,"529,550","20,350","3,750","4,200","4,200",0,0,,"4,000","3,000","1,000",0,0,0,0,100,100,0,0,0
,12/1/2014,"549,900","20,350","3,750","4,200","4,200",0,0,,"4,000","3,000","1,000",0,0,0,0,100,100,0,0,0
,1/1/2015,"570,250","20,350","3,750","4,200","4,200",0,0,,"4,000","3,000","1,000",0,0,0,0,100,100,0,0,0
,2/1/2015,"590,600","20,350","3,750","4,200","4,200",0,0,,"4,000","3,000","1,000",0,0,0,0,100,100,0,0,0
,3/1/2015,"720,950","130,350","3,750","4,200","4,200",0,0,,"4,000","3,000","1,000",0,"10,000",0,"100,000",100,100,0,0,0
,4/1/2015,"753,400","32,450","3,750","4,200","4,200","4,200","4,200",,"6,000","4,000","1,500",0,0,0,0,200,200,0,0,0
,5/1/2015,"785,850","32,450","3,750","4,200","4,200","4,200","4,200",,"6,000","4,000","1,500",0,0,0,0,200,200,0,0,0
,6/1/2015,"818,300","32,450","3,750","4,200","4,200","4,200","4,200",,"6,000","4,000","1,500",0,0,0,0,200,200,0,0,0
,7/1/2015,"850,750","32,450","3,750","4,200","4,200","4,200","4,200",,"6,000","4,000","1,500",0,0,0,0,200,200,0,0,0
,8/1/2015,"883,200","32,450","3,750","4,200","4,200","4,200","4,200",,"6,000","4,000","1,500",0,0,0,0,200,200,0,0,0
,9/1/2015,"915,650","32,450","3,750","4,200","4,200","4,200","4,200",,"6,000","4,000","1,500",0,0,0,0,200,200,0,0,0
,10/1/2015,"948,100","32,450","3,750","4,200","4,200","4,200","4,200",,"6,000","4,000","1,500",0,0,0,0,200,200,0,0,0
,11/1/2015,"980,550","32,450","3,750","4,200","4,200","4,200","4,200",,"6,000","4,000","1,500",0,0,0,0,200,200,0,0,0
,12/1/2015,"1,013,000","32,450","3,750","4,200","4,200","4,200","4,200",,"6,000","4,000","1,500",0,0,0,0,200,200,0,0,0
